nom,domaine,trl,phase_gartner,potentiel,description,acteurs_cles,date_maj,url
Fusion nucléaire compacte,Énergie,3,Innovation Trigger,★★★★★,Réacteurs de fusion de petite taille - Commonwealth Fusion / TAE Technologies avancent rapidement,Commonwealth Fusion / TAE / Helion,2024-03,https://cfs.energy
Pérovskite solaire,Énergie,5,Peak of Inflated Expectations,★★★★☆,Cellules solaires next-gen - rendement 29%+ en labo - durabilité encore limitée,Saule Tech / Oxford PV,2024-03,https://oxfordpv.com
Hydrogène vert offshore,Énergie,4,Innovation Trigger,★★★★☆,Couplage éolien offshore + électrolyse directement en mer,Lhyfe / HydrogenPro,2024-02,https://lhyfe.com
Batteries sodium-ion,Énergie,7,Slope of Enlightenment,★★★★☆,Alternative au lithium - CATL commence la production série,CATL / HiNa Battery,2024-03,https://catl.com
IA pour découverte matériaux,Tech,4,Innovation Trigger,★★★★★,GNoME (DeepMind) a prédit 2.2M nouveaux matériaux stables,DeepMind / Microsoft,2024-01,https://deepmind.com
Ordinateur quantique 1000+ qubits,Tech,5,Peak of Inflated Expectations,★★★★☆,IBM Condor à 1121 qubits - la correction d'erreurs reste le défi majeur,IBM / Google / IonQ,2024-03,
Agriculture cellulaire,Agri/Food,6,Trough of Disillusionment,★★★☆☆,Viande cultivée - Good Meat autorisé USA mais coûts encore prohibitifs,Good Meat / Upside Foods,2024-02,
Béton bas carbone,Construction,7,Slope of Enlightenment,★★★★☆,CarbonCure / Sublime Systems - béton avec CO2 capturé intégré,CarbonCure / Sublime,2024-03,
Biocarburants SAF,Aviation,7,Slope of Enlightenment,★★★☆☆,Carburant aviation durable - obligations UE 2025 en approche,TotalEnergies / Neste,2024-03,
Modèles IA multimodaux frugaux,Tech,8,Plateau of Productivity,★★★★★,Mistral / Gemma prouvent qu'on peut faire puissant avec peu de paramètres,Mistral AI / Google,2024-03,
