nom,date,trl,note
Fusion nucléaire compacte,2023-06,2,Premiers tests plasma
Fusion nucléaire compacte,2023-09,2,Amélioration confinement
Fusion nucléaire compacte,2023-12,3,Seuil Q>1 approché
Fusion nucléaire compacte,2024-03,3,Levée de fonds 1.8Md$
Pérovskite solaire,2023-06,4,Rendement 26% en labo
Pérovskite solaire,2023-09,4,Premiers modules extérieurs
Pérovskite solaire,2023-12,5,Durabilité 5000h atteinte
Pérovskite solaire,2024-03,5,Partenariat avec fabricant masse
Hydrogène vert offshore,2023-06,3,Concept validé
Hydrogène vert offshore,2023-09,3,Permis environnemental
Hydrogène vert offshore,2023-12,4,Pilote 1MW en mer
Hydrogène vert offshore,2024-02,4,Extension à 10MW planifiée
Batteries sodium-ion,2023-06,6,Prototype véhicule
Batteries sodium-ion,2023-09,6,Ligne pilote 1GWh
Batteries sodium-ion,2023-12,7,Production série lancée
Batteries sodium-ion,2024-03,7,1er contrat OEM signé
IA pour découverte matériaux,2023-06,2,Publication GNoME
IA pour découverte matériaux,2023-09,3,Validation expérimentale partielle
IA pour découverte matériaux,2023-12,4,Pipeline synthèse automatisée
IA pour découverte matériaux,2024-01,4,Partenariat laboratoires nationaux
Ordinateur quantique 1000+ qubits,2023-06,4,IBM Eagle 127 qubits
Ordinateur quantique 1000+ qubits,2023-09,5,IBM Condor annoncé
Ordinateur quantique 1000+ qubits,2023-12,5,IBM Condor 1121 qubits livré
Ordinateur quantique 1000+ qubits,2024-03,5,Correction erreurs en progrès
Agriculture cellulaire,2023-06,6,Autorisation FDA obtenue
Agriculture cellulaire,2023-09,6,Premier restaurant USA
Agriculture cellulaire,2023-12,6,Coûts stagnent - ralentissement
Agriculture cellulaire,2024-02,6,Retrait de 2 acteurs du marché
Modèles IA multimodaux frugaux,2023-06,6,Llama 2 open source
Modèles IA multimodaux frugaux,2023-09,7,Mistral 7B publié
Modèles IA multimodaux frugaux,2023-12,8,Mistral Medium - adoption enterprise
Modèles IA multimodaux frugaux,2024-03,8,Gemma + Mistral Large - plateau productivité
